Rhinopithecus roxellana
Semnopithecus entellus
Semnopithecus johnii
Semnopithecus vetulus
Theropithecus gelada
Trachypithecus auratus
Trachypithecus cristatus
Trachypithecus francoisi
Trachypithecus obscurus
Trachypithecus phayrei
Trachypithecus pileatus
Cheirogaleus major
Cheirogaleus medius
Microcebus murinus
Mirza coquereli
Phaner furcifer
Daubentonia madagascariensis
Galago moholi
Galago senegalensis
Galagoides demidoff
Otolemur crassicaudatus
Otolemur garnettii
Gorilla gorilla
Homo sapiens
Pan paniscus
Pan troglodytes
Pongo pygmaeus
Hoolock hoolock
Hylobates agilis
Hylobates klossii
Hylobates lar
Hylobates moloch
Hylobates muelleri
Hylobates pileatus
Nomascus concolor
Nomascus leucogenys
Symphalangus syndactylus
Propithecus diadema
Propithecus tattersalli
Propithecus verreauxi
Eulemur coronatus
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulemur rubriventer
Hapalemur griseus
Lemur catta
Prolemur simus
Varecia rubra
Varecia variegata
Arctocebus calabarensis
Loris tardigradus
Nycticebus coucang
Nycticebus pygmaeus
Perodicticus potto
Cacajao calvus
Chiropotes albinasus
Chiropotes satanas
Pithecia monachus
Pithecia pithecia
Plecturocebus cupreus
Plecturocebus donacophilus
Plecturocebus moloch
Carlito syrichta
Cephalopachus bancanus
Elephas maximus
Loxodonta africana
Abrocoma bennettii
Cryptomys anselli
Cryptomys damarensis
Cryptomys hottentotus
Cryptomys mechowii
Georychus capensis
Heterocephalus glaber
Calomyscus bailwardi
Capromys pilorides
Geocapromys brownii
Plagiodontia aedium
Castor canadensis
Cavia aperea
Cavia porcellus
Cavia tschudii
Dolichotis patagonum
Galea musteloides
Galea spixii
Hydrochoerus hydrochaeris
Kerodon rupestris
Chinchilla lanigera
Lagidium viscacia
Lagostomus maximus
Alticola semicanus
Arvicola amphibius
Baiomys taylori
Cricetus cricetus
Dicrostonyx groenlandicus
Ellobius talpinus
Lagurus lagurus
Lasiopodomys brandtii
Lemmus lemmus
Lophiomys imhausi
Mesocricetus auratus
Mesocricetus brandti
Microtus agrestis
Microtus arvalis
Microtus guentheri
Microtus ochrogaster
Microtus pinetorum
Myodes glareolus
Myodes rutilus
Neotoma albigula
Neotoma floridana
Neotoma lepida
Nyctomys sumichrasti
Ochrotomys nuttalli
Onychomys leucogaster
Onychomys torridus
Peromyscus californicus
Peromyscus crinitus
Peromyscus eremicus
Peromyscus guatemalensis
Peromyscus leucopus
Peromyscus maniculatus
Peromyscus polionotus
Peromyscus truei
Phodopus sungorus
Podomys floridanus
Reithrodon auritus
Sigmodon hispidus
Tylomys nudicaudus
Ctenodactylus gundi
Cuniculus paca
Cuniculus taczanowskii
Dasyprocta azarae
Dasyprocta cristata
Dasyprocta fuliginosa
Dasyprocta leporina
Dasyprocta mexicana
Dasyprocta prymnolopha
Dasyprocta punctata
Myoprocta acouchy
Dinomys branickii
Allactaga elater
Allactaga euphratica
Allactaga major
Allactaga sibirica
Jaculus jaculus
Jaculus orientalis
Zapus hudsonius
Hoplomys gymnurus
Proechimys brevicauda
Proechimys semispinosus
Thrichomys apereoides
Coendou prehensilis
Erethizon dorsatus
Sphiggurus mexicanus
Geomys bursarius
Thomomys bottae
Dryomys nitedula
Eliomys melanurus
Eliomys quercinus
Glirulus japonicus
Glis glis
Graphiurus murinus
Graphiurus platyops
Muscardinus avellanarius
Chaetodipus fallax
Chaetodipus formosus
Dipodomys deserti
Dipodomys heermanni
Dipodomys merriami
Dipodomys ordii
Dipodomys spectabilis
Perognathus amplus
Perognathus longimembris
Perognathus parvus
Atherurus africanus
Hystrix africaeaustralis
Hystrix brachyura
Hystrix cristata
Hystrix indica
Acomys cahirinus
Acomys wilsoni
Apodemus argenteus
Apodemus flavicollis
Apodemus peninsulae
Apodemus speciosus
Apodemus sylvaticus
Arvicanthis niloticus
Chiropodomys gliroides
Conilurus penicillatus
Desmodillus auricularis
Dipodillus campestris
Gerbilliscus afra
Gerbilliscus validus
Gerbillus gerbillus
Gerbillus nanus
Gerbillus perpallidus
Gerbillus pyramidum
Grammomys dolichurus
Hydromys chrysogaster
Lemniscomys barbarus
Lemniscomys striatus
Leporillus conditor
Meriones crassus
Meriones libycus
Meriones meridianus
Meriones persicus
Meriones unguiculatus
Meriones vinogradovi
Mesembriomys gouldii
Mesembriomys macrurus
Micaelamys namaquensis
Micromys minutus
Millardia gleadowi
Mus minutoides
Mus musculus
Mus spicilegus
Notomys alexis
Notomys mitchellii
Pachyuromys duprasi
Phloeomys cumingi
Phloeomys pallidus
Pogonomys macrourus
Praomys tullbergi
Psammomys obesus
Pseudomys australis
Pseudomys chapmani
Pseudomys fumeus
Pseudomys laborifex
Pseudomys shortridgei
Rattus fuscipes
Rattus lutreolus
Rattus norvegicus
Rattus rattus
Rhabdomys pumilio
Rhombomys opimus
Sekeetamys calurus
Tatera indica
Zyzomys palatilis
Zyzomys pedunculatus
Myocastor coypus
Cricetomys emini
Cricetomys gambianus
Dendromus melanotis
Dendromus mesomelas
Hypogeomys antimena
Mystromys albicaudatus
Saccostomus campestris
Octodon degus
Spalacopus cyanus
Pedetes capensis
Ammospermophilus harrisii
Ammospermophilus leucurus
Callosciurus caniceps
Callosciurus erythraeus
Callosciurus notatus
Callosciurus prevostii
Callospermophilus lateralis
Cynomys ludovicianus
Funisciurus anerythrus
Funisciurus pyrropus
Glaucomys sabrinus
Glaucomys volans
Heliosciurus rufobrachium
Ictidomys tridecemlineatus
Marmota caligata
Marmota flaviventris
Marmota marmota
Marmota monax
Marmota vancouverensis
Otospermophilus variegatus
Petaurista alborufus
Petaurista leucogenys
Poliocitellus franklinii
Pteromys volans
Ratufa bicolor
Ratufa indica
Sciurus aureogaster
Sciurus carolinensis
Sciurus granatensis
Sciurus niger
Sciurus variegatoides
Sciurus vulgaris
Spermophilus citellus
Spermophilus pygmaeus
Sundasciurus hippurus
Sundasciurus lowii
Sundasciurus tenuis
Tamias dorsalis
Tamias minimus
Tamias sibiricus
Tamias striatus
Tamias townsendii
Tamiasciurus hudsonicus
Xerospermophilus mohavensis
Xerospermophilus tereticaudus
Xerus erythropus
Xerus inauris
Cannomys badius
Spalax ehrenbergi
Thryonomys swinderianus
Tupaia belangeri
Tupaia glis
Tupaia minor
Tupaia tana
Urogale everetti
Dugong dugon
Trichechus inunguis
Trichechus manatus
Solenodon paradoxus
Blarina brevicauda
Blarina hylophaga
Crocidura flavescens
Crocidura leucodon
Crocidura russula
Crocidura suaveolens
Cryptotis parva
Myosorex varius
Neomys fodiens
Sorex araneus
Sorex caecutiens
Suncus etruscus
Suncus murinus
Condylura cristata
Mogera wogura
Scalopus aquaticus
Orycteropus afer
